n_prediction,n_control,seed,hour,tau_Pa,phi_sen,rho_bar,varphi_bar_deg
3,3,58,3,2,0.204381918,2.019471394,33.85876475
3,3,58,4,2,0.2059694814,2.045087581,30.99480382
3,3,58,5,2,0.2075499476,2.067365414,28.50632779
3,3,58,6,1.993438025,0.2090891112,2.086710585,26.34731166
3,3,59,0,,0.2011173184,1.920111732,45
3,3,59,1,1.637385347,0.2013575557,1.956363908,40.92433282
3,3,59,2,1.965482173,0.2027667745,1.990028171,37.15295702
3,3,59,3,2,0.2043479998,2.01947467,33.85801464
3,3,59,4,2,0.20592213,2.045092402,30.99372874
3,3,59,5,2,0.2074893639,2.067372424,28.50485767
3,3,59,6,1.994139449,0.2090192543,2.086722693,26.34516364
3,3,60,0,,0.2011173184,1.920111732,45
3,3,60,1,1.637540775,0.2013485434,1.956364706,40.92414165
3,3,60,2,1.965869606,0.2027465136,1.990030708,37.15244362
3,3,60,3,2,0.2043141696,2.019477931,33.85726714
3,3,60,4,2,0.2058749678,2.045097202,30.99265819
3,3,60,5,2,0.2074291016,2.067379397,28.50339528
3,3,60,6,1.994832625,0.2089498172,2.08673471,26.34303054
3,3,61,0,,0.2011173184,1.920111732,45
3,3,61,1,1.637540621,0.2013485449,1.956364705,40.9241418
3,3,61,2,1.965868972,0.2027465208,1.990030704,37.15244412
3,3,61,3,2,0.204314194,2.019477927,33.85726785
3,3,61,4,2,0.205875017,2.045097196,30.99265939
3,3,61,5,2,0.2074291834,2.067379387,28.50339727
3,3,61,6,1.994829959,0.2089499248,2.086734686,26.34303453
4,1,42,0,,0.2011173184,1.920111732,45
4,1,42,1,1.85276787,0.2019994373,1.957850927,40.7642644
4,1,42,2,2,0.2035627279,1.991447355,37.0022532
4,1,42,3,2,0.2051191968,2.020684487,33.73058614
4,1,42,4,2,0.2066690381,2.046121279,30.88638275
4,1,42,5,1.992701559,0.2081744576,2.068218976,28.41732782
4,1,42,6,1.973785497,0.2095779794,2.087366816,26.27898543
4,1,43,0,,0.2011173184,1.920111732,45
4,1,43,1,1.853739499,0.2019758874,1.957854918,40.76355043
4,1,43,2,2,0.2035066893,1.991451318,37.00117693
4,1,43,3,2,0.2050312353,2.020690756,33.7288913
4,1,43,4,2,0.206549707,2.046131687,30.88386939
4,1,43,5,1.994667145,0.2080347022,2.06824198,28.4131677
4,1,43,6,1.976010951,0.2094198991,2.087403163,26.27311798
4,1,44,0,,0.2011173184,1.920111732,45
4,1,44,1,1.853104028,0.2019912894,1.957852309,40.76401726
4,1,44,2,2,0.2035433281,1.991448727,37.00188061
4,1,44,3,2,0.2050887367,2.020686658,33.72999929
4,1,44,4,2,0.2066277051,2.046124884,30.88551228
4,1,44,5,1.993381887,0.2081260508,2.068226944,28.41588682
4,1,44,6,1.974555913,0.209523223,2.087379409,26.27695273
4,1,45,0,,0.2011173184,1.920111732,45
4,1,45,1,1.854040303,0.2019686339,1.957856154,40.76332982
4,1,45,2,2,0.2034894254,1.991452545,37.00084477
4,1,45,3,2,0.2050041251,2.020692693,33.72836848
4,1,45,4,2,0.2065129105,2.0461349,30.88309403
4,1,45,5,1.995279387,0.2079915903,2.068249096,28.41188208
4,1,45,6,1.976705079,0.2093711169,2.08741442,26.27130284
4,1,46,0,,0.2011173184,1.920111732,45
4,1,46,1,1.851503305,0.2020301809,1.957845722,40.76519579
4,1,46,2,2,0.2036359808,1.991442189,37.00365854
4,1,46,3,2,0.2052342353,2.020676303,33.73280101
4,1,46,4,2,0.2068251552,2.046107678,30.88966921
4,1,46,5,1.990148175,0.2083572508,2.06818893,28.4227645
4,1,46,6,1.970896235,0.2097847284,2.087319347,26.28665164
4,1,47,0,,0.2011173184,1.920111732,45
4,1,47,1,1.854114375,0.2019668205,1.957856457,40.76327537
4,1,47,2,2,0.2034851295,1.991452846,37.00076254
4,1,47,3,2,0.2049974022,2.020693171,33.72823908
4,1,47,4,2,0.2065038151,2.046135693,30.8829025
